येस	य े स |
बैंक	ब ै ं क |
वाणिज्य	व ा ण ि ज ् य |
के	क े |
श्रेणी	श ् र े ण ी |
में	म े ं |
अबैत	अ ब ै त |
अछि	अ छ ि |
हरोथ	ह र ो थ |
बाँस	ब ा ँ स |
मोट	म ो ट |
निस्सन	न ि स ् स न |
आ	आ |
मजगुत	म ज ग ु त |
होइत	ह ो इ त |
फल	फ ल |
सॅ	स ॅ |
प्राप्त	प ् र ा प ् त |
सोनक	स ो न क |
बिन	ब ि न |
अनेक	अ न े क |
प्रकारक	प ् र क ा र क |
ब्याधि	ब ् य ा ध ि |
लगबाक	ल ग ब ा क |
संभावना	स ं भ ा व न ा |
बढ़ि	ब ढ़ ि |
जाइत	ज ा इ त |
वाहन	व ा ह न |
चोरी	च ो र ी |
भेला	भ े ल ा |
पर	प र |
हुनकर	ह ु न क र |
ऋण	ऋ ण |
भुगतान	भ ु ग त ा न |
गैप	ग ै प |
बीमा	ब ी म ा |
भ	भ |
गेलैन	ग े ल ै न |
परीक्षा	प र ी क ् ष ा |
सफलता	स फ ल त ा |
कय	क य |
ओ	ओ |
अधिकारी	अ ध ि क ा र ी |
बनला	ब न ल ा |
किछु	क ि छ ु |
दशक	द श क |
छात्र	छ ा त ् र |
सभ	स भ |
वित्तीय	व ि त ् त ी य |
आजीविका	आ ज ी व ि क ा |
आकर्षित	आ क र ् ष ि त |
भेल	भ े ल |
हेम	ह े म |
सिंह	स ि ं ह |
प्रुथी	प ् र ु थ ी |
बहुत	ब ह ु त |
प्रसिद्ध	प ् र स ि द ् ध |
कृषि	क ृ ष ि |
वैज्ञानिक	व ै ज ् ञ ा न ि क |
छलाह	छ ल ा ह |
प्राचीन	प ् र ा च ी न |
युग	य ु ग |
चीन	च ी न |
लकड़ी	ल क ड़ ी |
कागज	क ा ग ज |
उपयोग	उ प य ो ग |
कएल	क ए ल |
छल	छ ल |
कार्य	क ा र ् य |
अंकुरित	अ ं क ु र ि त |
बीयाक	ब ी य ा क |
वर्षाक	व र ् ष ा क |
अभावक	अ भ ा व क |
कारणेँ	क ा र ण े ँ |
अंकुरण	अ ं क ु र ण |
प्रक्रिया	प ् र क ् र ि य ा |
नष्ट	न ष ् ट |
गेल	ग े ल |
भारतीय	भ ा र त ी य |
कर	क र |
कानून	क ा न ू न |
एवं	ए व ं |
नियममे	न ि य म म े |
छूटक	छ ू ट क |
प्रावधान	प ् र ा व ध ा न |
सेहो	स े ह ो |
कयल	क य ल |
छै	छ ै |
केंद्रीय	क े ं द ् र ी य |
बजट	ब ज ट |
आरम्भ	आ र म ् भ |
उन्नैस	उ न ् न ै स |
सौ	स ौ |
सैंतालीस	स ै ं त ा ल ी स |
मे	म े |
किछ	क ि छ |
खरपात	ख र प ा त |
सहायता	स ह ा य त ा |
गाछक	ग ा छ क |
स्वास्थ्य	स ् व ा स ् थ ् य |
वृद्धि	व ृ द ् ध ि |
संस्थानक	स ं स ् थ ा न क |
शेयर	श े य र |
हिस्सेदारी	ह ि स ् स े द ा र ी |
न्यायसम्य	न ् य ा य स म ् य |
कहल	क ह ल |
राष्ट्रीय	र ा ष ् ट ् र ी य |
खाद्य	ख ा द ् य |
सुरक्षा	स ु र क ् ष ा |
मिशन	म ि श न |
प्रायोजित	प ् र ा य ो ज ि त |
योजना	य ो ज न ा |
तूरक	त ू र क |
कारखाना	क ा र ख ा न ा |
माध्यम	म ा ध ् य म |
जिला	ज ि ल ा |
विकास	व ि क ा स |
भेलै	भ े ल ै |
फसिल	फ स ि ल |
कृषक	क ृ ष क |
लेल	ल े ल |
सरकारक	स र क ा र क |
एकटा	ए क ट ा |
संगै	स ं ग ै |
ब्याज	ब ् य ा ज |
ऋणदाता	ऋ ण द ा त ा |
दिअ	द ि अ |
पड़लैन	प ड़ ल ै न |
सांस्कृतिक	स ा ं स ् क ृ त ि क |
खेल	ख े ल |
वृद्धिक	व ृ द ् ध ि क |
उद्यमिता	उ द ् य म ि त ा |
पटुआक	प ट ु आ क |
इतिहासक	इ त ि ह ा स क |
विषय	व ि ष य |
लिखित	ल ि ख ि त |
सामग्रीक	स ा म ग ् र ी क |
अध्ययनक	अ ध ् य य न क |
आवश्यक	आ व श ् य क |
इमारती	इ म ा र त ी |
लकड़ीक	ल क ड़ ी क |
उत्पादन	उ त ् प ा द न |
गति	ग त ि |
देबाक	द े ब ा क |
टिसू	ट ि स ू |
कल्चरक	क ल ् च र क |
जा	ज ा |
रहल	र ह ल |
पशुचारणक	प श ु च ा र ण क |
दलक	द ल क |
गामक	ग ा म क |
मेला	म े ल ा |
हर्ष	ह र ् ष |
भेड़	भ े ड़ |
पालन	प ा ल न |
अपन	अ प न |
परिवारक	प र ि व ा र क |
कयलैन	क य ल ै न |
भांग	भ ा ं ग |
कटनीक	क ट न ी क |
कचिया	क च ि य ा |
हाँसू	ह ा ँ स ू |
टेंगारी	ट े ं ग ा र ी |
कुरिहर	क ु र ि ह र |
इत्यादिक	इ त ् य ा द ि क |
खेतीहर	ख े त ी ह र |
जनक	ज न क |
दिस	द ि स |
ध्यान	ध ् य ा न |
नै	न ै |
तूर	त ू र |
बीछ	ब ी छ |
तक	त क |
पहुचौल	प ह ु च ौ ल |
बजार	ब ज ा र |
मूल्य	म ू ल ् य |
मांग	म ा ं ग |
आपूर्ति	आ प ू र ् त ि |
निर्धारित	न ि र ् ध ा र ि त |
कअल	क अ ल |
शुद्ध	श ु द ् ध |
शीतल	श ी त ल |
जल	ज ल |
सकै	स क ै |
खाद	ख ा द |
छिटबाक	छ ि ट ब ा क |
मशीनक	म श ी न क |
करबा	क र ब ा |
आसानी	आ स ा न ी |
म्यूचुअल	म ् य ू च ु अ ल |
फंड	फ ं ड |
केँ	क े ँ |
कंपनी	क ं प न ी |
सब	स ब |
लोक	ल ो क |
सभक	स भ क |
धन	ध न |
बढ़ाबै	ब ढ़ ा ब ै |
तरह	त र ह |
व्यापारक	व ् य ा प ा र क |
काज	क ा ज |
पूंजी	प ू ं ज ी |
लगाबै	ल ग ा ब ै |
बैकक	ब ै क क |
शाखा	श ा ख ा |
जतय	ज त य |
अहाँ	अ ह ा ँ |
करजा	क र ज ा |
आवेदन	आ व े द न |
देने	द े न े |
रहिये	र ह ि य े |
ओतहु	ओ त ह ु |
देखि	द े ख ि |
छी	छ ी |
इक्विटी	इ क ् व ि ट ी |
पैसा	प ै स ा |
कोना	क ो न ा |
लगाओल	ल ग ा ओ ल |
जाय	ज ा य |
सौंसे	स ौ ं स े |
दुनिया	द ु न ि य ा |
चाउर	च ा उ र |
उपजाबे	उ प ज ा ब े |
भारत	भ ा र त |
केर	क े र |
दोसर	द ो स र |
नम्बर	न म ् ब र |
खेती	ख े त ी |
टैक्टर	ट ै क ् ट र |
सबसँ	स ब स ँ |
नीक	न ी क |
मशीन	म श ी न |
मानल	म ा न ल |
जाइ	ज ा इ |
नर्सरी	न र ् स र ी |
बेपारिक	ब े प ा र ि क |
रुप	र ु प |
सँ	स ँ |
शहतुतक	श ह त ु त क |
गाछ	ग ा छ |
लगाएल	ल ग ा ए ल |
हार्वेस्टिंग	ह ा र ् व े स ् ट ि ं ग |
यानी	य ा न ी |
कटनी	क ट न ी |
कोनो	क ो न ो |
फसल	फ स ल |
काटि	क ा ट ि |
अन्न	अ न ् न |
जमा	ज म ा |
शलगम	श ल ग म |
जड़ि	ज ड़ ि |
बला	ब ल ा |
तरकारी	त र क ा र ी |
जे	ज े |
टेम्परेट	ट े म ् प र े ट |
जलबायु	ज ल ब ा य ु |
उगाएल	उ ग ा ए ल |
समतोला	स म त ो ल ा |
बिटामिन	ब ि ट ा म ि न |
ए	ए |
बी	ब ी |
सी	स ी |
फास्फोरस	फ ा स ् फ ो र स |
होइ	ह ो इ |
समुदाय	स म ु द ा य |
बेसी	ब े स ी |
गरीब	ग र ी ब |
गाम	ग ा म |
पाओल	प ा ओ ल |
काइटिन	क ा इ ट ि न |
एक	ए क |
प्राकृतिक	प ् र ा क ृ त ि क |
बहुलक	ब ह ु ल क |
जीव	ज ी व |
से	स े |
बनैत	ब न ै त |
मूल	म ू ल |
भेलैन	भ े ल ै न |
दूधक	द ू ध क |
पाइपलाइनक	प ा इ प ल ा इ न क |
करला	क र ल ा |
बर्बादी	ब र ् ब ा द ी |
जमल	ज म ल |
पाइनक	प ा इ न क |
स्रोत	स ् र ो त |
पोखैर	प ो ख ै र |
खत्ता	ख त ् त ा |
चभच्चा	च भ च ् च ा |
डबरा	ड ब र ा |
इनार	इ न ा र |
इत्यादि	इ त ् य ा द ि |
प्रजनन	प ् र ज न न |
क्षमता	क ् ष म त ा |
बढ़यबाक	ब ढ़ य ब ा क |
हार्मोन	ह ा र ् म ो न |
उपचार	उ प च ा र |
सरकार	स र क ा र |
माछ	म ा छ |
पालनक	प ा ल न क |
सुझाव	स ु झ ा व |
दैत	द ै त |
गुणवत्ता	ग ु ण व त ् त ा |
निर्भर	न ि र ् भ र |
भ्रष्ट	भ ् र ष ् ट |
पशु	प श ु |
राशि	र ा श ि |
देलक	द े ल क |
यूनियन	य ू न ि य न |
बैंकक	ब ै ं क क |
मुख्यालय	म ु ख ् य ा ल य |
मुंबई	म ु ं ब ई |
शहर	श ह र |
वस्तु	व स ् त ु |
सेवा	स े व ा |
राजस्व	र ा ज स ् व |
स्मरण	स ् म र ण |
